flow_key,status,total_bytes,received_bytes,completion_percent,first_timestamp_ms,last_timestamp_ms,duration_ms,server_isn_set,buffered_packets,tcp_seqs_count,request_method,request_uri,request_host,request_user_agent,client_addr,client_port,server_addr,server_port,request_timestamp_ms,attempt,browser
completed_84,archived,21384734,21384734,100.00,1763162763443,1763162766459,3016,true,0,0,GET,/images/rotatd_84.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52344,10.0.2.5,8080,1763162763443,1,Epiphany
completed_85,archived,21284576,21284576,100.00,1763162763562,1763162766597,3035,true,0,0,GET,/images/rotatd_85.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52364,10.0.2.5,8080,1763162763562,1,Epiphany
completed_86,archived,20987425,20987425,100.00,1763162766457,1763162770546,4089,true,0,0,GET,/images/rotatd_88.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52328,10.0.2.5,8080,1763162766457,1,Epiphany
completed_87,archived,21189648,21189648,100.00,1763162766083,1763162770961,4878,true,0,0,GET,/images/rotatd_86.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52332,10.0.2.5,8080,1763162766083,1,Epiphany
completed_88,archived,20883802,20883802,100.00,1763162766747,1763162770965,4218,true,0,0,GET,/images/rotatd_89.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52366,10.0.2.5,8080,1763162766747,1,Epiphany
completed_89,archived,21088722,21088722,100.00,1763162766292,1763162771283,4991,true,0,0,GET,/images/rotatd_87.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52354,10.0.2.5,8080,1763162766292,1,Epiphany
completed_90,archived,21809728,21809728,100.00,1763162766796,1763162771905,5109,true,0,0,GET,/images/rotatd_9.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52344,10.0.2.5,8080,1763162766796,1,Epiphany
completed_91,archived,22074051,22074051,100.00,1763162766895,1763162772032,5137,true,0,0,GET,/images/rotatd_90.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52364,10.0.2.5,8080,1763162766895,1,Epiphany
completed_92,archived,16241727,16241727,100.00,1763162771707,1763162772955,1248,true,0,0,GET,/images/rotated_0.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52354,10.0.2.5,8080,1763162771707,1,Epiphany
completed_93,archived,20882879,20882879,100.00,1763162771352,1763162773145,1793,true,0,0,GET,/images/rotatd_91.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,52332,10.0.2.5,8080,1763162771352,1,Epiphany
completed_0,archived,1895,1895,100.00,1763162999906,1763162999909,3,true,0,0,GET,/gallery.html,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763162999906,2,Epiphany
completed_1,archived,153,153,100.00,1763162999936,1763163000512,576,true,0,0,GET,/images/,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763162999936,2,Epiphany
completed_2,archived,21053875,21053875,100.00,1763163000530,1763163004637,4107,true,0,0,GET,/images/rotatd_1.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163000530,2,Epiphany
completed_3,archived,21890236,21890236,100.00,1763163000534,1763163004803,4269,true,0,0,GET,/images/rotatd_10.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163000534,2,Epiphany
completed_4,archived,22079594,22079594,100.00,1763163000549,1763163005117,4568,true,0,0,GET,/images/rotatd_12.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163000549,2,Epiphany
completed_5,archived,22237768,22237768,100.00,1763163000558,1763163005171,4613,true,0,0,GET,/images/rotatd_14.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163000558,2,Epiphany
completed_6,archived,21970814,21970814,100.00,1763163000538,1763163005200,4662,true,0,0,GET,/images/rotatd_11.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163000538,2,Epiphany
completed_7,archived,22151654,22151654,100.00,1763163000553,1763163005221,4668,true,0,0,GET,/images/rotatd_13.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163000553,2,Epiphany
completed_8,archived,21157130,21157130,100.00,1763163005472,1763163008575,3103,true,0,0,GET,/images/rotatd_2.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163005472,2,Epiphany
completed_9,archived,22313890,22313890,100.00,1763163004736,1763163008582,3846,true,0,0,GET,/images/rotatd_15.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163004736,2,Epiphany
completed_10,archived,22386230,22386230,100.00,1763163005238,1763163008732,3494,true,0,0,GET,/images/rotatd_16.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163005238,2,Epiphany
completed_11,archived,22528372,22528372,100.00,1763163005369,1763163008900,3531,true,0,0,GET,/images/rotatd_18.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163005369,2,Epiphany
completed_12,archived,22459623,22459623,100.00,1763163005299,1763163008950,3651,true,0,0,GET,/images/rotatd_17.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163005299,2,Epiphany
completed_13,archived,22597486,22597486,100.00,1763163005430,1763163008988,3558,true,0,0,GET,/images/rotatd_19.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163005430,2,Epiphany
completed_14,archived,22663075,22663075,100.00,1763163008659,1763163012132,3473,true,0,0,GET,/images/rotatd_20.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163008659,2,Epiphany
completed_15,archived,22725558,22725558,100.00,1763163008869,1763163012151,3282,true,0,0,GET,/images/rotatd_21.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163008869,2,Epiphany
completed_16,archived,22787114,22787114,100.00,1763163008962,1763163012332,3370,true,0,0,GET,/images/rotatd_22.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163008962,2,Epiphany
completed_17,archived,22897586,22897586,100.00,1763163009053,1763163012436,3383,true,0,0,GET,/images/rotatd_24.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163009053,2,Epiphany
completed_18,archived,22842044,22842044,100.00,1763163009009,1763163012487,3478,true,0,0,GET,/images/rotatd_23.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163009009,2,Epiphany
completed_19,archived,22944258,22944258,100.00,1763163009080,1763163012527,3447,true,0,0,GET,/images/rotatd_25.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163009080,2,Epiphany
completed_20,archived,21256872,21256872,100.00,1763163012753,1763163015458,2705,true,0,0,GET,/images/rotatd_3.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163012753,2,Epiphany
completed_21,archived,22992737,22992737,100.00,1763163012221,1763163015559,3338,true,0,0,GET,/images/rotatd_26.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163012221,2,Epiphany
completed_22,archived,23044837,23044837,100.00,1763163012373,1763163015582,3209,true,0,0,GET,/images/rotatd_27.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163012373,2,Epiphany
completed_23,archived,23087263,23087263,100.00,1763163012481,1763163015743,3262,true,0,0,GET,/images/rotatd_28.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163012481,2,Epiphany
completed_24,archived,23126910,23126910,100.00,1763163012683,1763163015866,3183,true,0,0,GET,/images/rotatd_29.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163012683,2,Epiphany
completed_25,archived,23167133,23167133,100.00,1763163012785,1763163015922,3137,true,0,0,GET,/images/rotatd_30.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163012785,2,Epiphany
completed_26,archived,23232860,23232860,100.00,1763163015665,1763163018772,3107,true,0,0,GET,/images/rotatd_32.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163015665,2,Epiphany
completed_27,archived,23203541,23203541,100.00,1763163015630,1763163018862,3232,true,0,0,GET,/images/rotatd_31.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163015630,2,Epiphany
completed_28,archived,23263054,23263054,100.00,1763163015769,1763163018908,3139,true,0,0,GET,/images/rotatd_33.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163015769,2,Epiphany
completed_29,archived,23285248,23285248,100.00,1763163015858,1763163019068,3210,true,0,0,GET,/images/rotatd_34.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163015858,2,Epiphany
completed_30,archived,23309396,23309396,100.00,1763163015908,1763163019202,3294,true,0,0,GET,/images/rotatd_35.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163015908,2,Epiphany
completed_31,archived,23331058,23331058,100.00,1763163015997,1763163019259,3262,true,0,0,GET,/images/rotatd_36.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163015997,2,Epiphany
completed_32,archived,21364781,21364781,100.00,1763163019186,1763163021982,2796,true,0,0,GET,/images/rotatd_4.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163019186,2,Epiphany
completed_33,archived,23370464,23370464,100.00,1763163018980,1763163022150,3170,true,0,0,GET,/images/rotatd_38.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163018980,2,Epiphany
completed_34,archived,23352231,23352231,100.00,1763163018945,1763163022381,3436,true,0,0,GET,/images/rotatd_37.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163018945,2,Epiphany
completed_35,archived,23387149,23387149,100.00,1763163019080,1763163022433,3353,true,0,0,GET,/images/rotatd_39.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163019080,2,Epiphany
completed_36,archived,23398690,23398690,100.00,1763163019244,1763163022661,3417,true,0,0,GET,/images/rotatd_40.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163019244,2,Epiphany
completed_37,archived,23407944,23407944,100.00,1763163019327,1763163022792,3465,true,0,0,GET,/images/rotatd_41.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163019327,2,Epiphany
completed_38,archived,23414293,23414293,100.00,1763163022173,1763163025610,3437,true,0,0,GET,/images/rotatd_42.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163022173,2,Epiphany
completed_39,archived,23422798,23422798,100.00,1763163022492,1763163025733,3241,true,0,0,GET,/images/rotatd_44.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163022492,2,Epiphany
completed_40,archived,23418904,23418904,100.00,1763163022456,1763163025820,3364,true,0,0,GET,/images/rotatd_43.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163022456,2,Epiphany
completed_41,archived,23444253,23444253,100.00,1763163022579,1763163025858,3279,true,0,0,GET,/images/rotatd_45.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163022579,2,Epiphany
completed_42,archived,23414107,23414107,100.00,1763163022767,1763163026093,3326,true,0,0,GET,/images/rotatd_46.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163022767,2,Epiphany
completed_43,archived,23415454,23415454,100.00,1763163022892,1763163026152,3260,true,0,0,GET,/images/rotatd_47.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163022892,2,Epiphany
completed_44,archived,21463952,21463952,100.00,1763163025931,1763163028562,2631,true,0,0,GET,/images/rotatd_5.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163025931,2,Epiphany
completed_45,archived,23398955,23398955,100.00,1763163025753,1763163028810,3057,true,0,0,GET,/images/rotatd_48.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163025753,2,Epiphany
completed_46,archived,23387722,23387722,100.00,1763163025883,1763163029012,3129,true,0,0,GET,/images/rotatd_49.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163025883,2,Epiphany
completed_47,archived,23376605,23376605,100.00,1763163026019,1763163029043,3024,true,0,0,GET,/images/rotatd_50.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163026019,2,Epiphany
completed_48,archived,23357298,23357298,100.00,1763163026130,1763163029327,3197,true,0,0,GET,/images/rotatd_51.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163026130,2,Epiphany
completed_49,archived,23338861,23338861,100.00,1763163026222,1763163029400,3178,true,0,0,GET,/images/rotatd_52.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163026222,2,Epiphany
completed_50,archived,23318259,23318259,100.00,1763163028736,1763163032255,3519,true,0,0,GET,/images/rotatd_53.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163028736,2,Epiphany
completed_51,archived,23290726,23290726,100.00,1763163028957,1763163032740,3783,true,0,0,GET,/images/rotatd_54.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163028957,2,Epiphany
completed_52,archived,23261092,23261092,100.00,1763163029068,1763163032971,3903,true,0,0,GET,/images/rotatd_55.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163029068,2,Epiphany
completed_53,archived,23227323,23227323,100.00,1763163029255,1763163033024,3769,true,0,0,GET,/images/rotatd_56.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163029255,2,Epiphany
completed_54,archived,23201737,23201737,100.00,1763163029375,1763163033320,3945,true,0,0,GET,/images/rotatd_57.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163029375,2,Epiphany
completed_55,archived,23169159,23169159,100.00,1763163029479,1763163033391,3912,true,0,0,GET,/images/rotatd_58.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163029479,2,Epiphany
completed_56,archived,21562749,21562749,100.00,1763163032918,1763163035795,2877,true,0,0,GET,/images/rotatd_6.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163032918,2,Epiphany
completed_57,archived,23126707,23126707,100.00,1763163032494,1763163035847,3353,true,0,0,GET,/images/rotatd_59.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163032494,2,Epiphany
completed_58,archived,23086156,23086156,100.00,1763163033048,1763163036297,3249,true,0,0,GET,/images/rotatd_60.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163033048,2,Epiphany
completed_59,archived,23052200,23052200,100.00,1763163033248,1763163036325,3077,true,0,0,GET,/images/rotatd_61.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163033248,2,Epiphany
completed_60,archived,23003864,23003864,100.00,1763163033370,1763163036685,3315,true,0,0,GET,/images/rotatd_62.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163033370,2,Epiphany
completed_61,archived,22959723,22959723,100.00,1763163033479,1763163036868,3389,true,0,0,GET,/images/rotatd_63.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163033479,2,Epiphany
completed_62,archived,22909104,22909104,100.00,1763163035945,1763163039896,3951,true,0,0,GET,/images/rotatd_64.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34032,10.0.2.5,8080,1763163035945,2,Epiphany
completed_63,archived,22856873,22856873,100.00,1763163036043,1763163039928,3885,true,0,0,GET,/images/rotatd_65.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34024,10.0.2.5,8080,1763163036043,2,Epiphany
completed_64,archived,22804925,22804925,100.00,1763163036360,1763163040412,4052,true,0,0,GET,/images/rotatd_66.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34046,10.0.2.5,8080,1763163036360,2,Epiphany
completed_65,archived,22747667,22747667,100.00,1763163036492,1763163040436,3944,true,0,0,GET,/images/rotatd_67.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34006,10.0.2.5,8080,1763163036492,2,Epiphany
completed_66,archived,22682409,22682409,100.00,1763163036845,1763163040722,3877,true,0,0,GET,/images/rotatd_68.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34030,10.0.2.5,8080,1763163036845,2,Epiphany
completed_67,archived,22620725,22620725,100.00,1763163037146,1763163040772,3626,true,0,0,GET,/images/rotatd_69.jpg,10.0.2.5:8080,"Mozilla/5.0 (X11; Ubuntu; Linux x86_64) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/60.5 Safari/605.1.15",10.0.0.140,34010,10.0.2.5,8080,1763163037146,2,Epiphany
